kode_wilayah,kabupaten_kota,provinsi,alasan
7110,Bolaang Mongondow Timur,Sulawesi Utara,stunting kosong 2024
7305,Takalar,Sulawesi Selatan,stunting kosong 2024
7307,Sinjai,Sulawesi Selatan,stunting kosong 2024
7309,Maros,Sulawesi Selatan,stunting kosong 2024
7314,Sidenreng Rappang,Sulawesi Selatan,stunting kosong 2024
7317,Luwu,Sulawesi Selatan,stunting kosong 2024
7405,Konawe Selatan,Sulawesi Tenggara,stunting kosong 2024
7408,Kolaka Utara,Sulawesi Tenggara,stunting kosong 2024
7605,Majene,Sulawesi Barat,stunting kosong 2024
8202,Halmahera Tengah,Maluku Utara,stunting kosong 2024
8205,Kepulauan Sula,Maluku Utara,stunting kosong 2024
8207,Pulau Morotai,Maluku Utara,stunting kosong 2024
9106,Biak Namfor,Papua,stunting kosong 2024
9111,Keerom,Papua,stunting kosong 2024
9171,Jayapura,Papua,stunting kosong 2024
9202,Manokwari,Papua Barat,stunting kosong 2023
9209,Tambrauw,Papua Barat,stunting kosong 2024
9210,Maybrat,Papua Barat,stunting kosong 2023; stunting kosong 2024
9271,Sorong,Papua Barat,stunting kosong 2024
9302,Boven Digoel,Papua,stunting kosong 2024
9303,Mappi,Papua,stunting kosong 2024
9304,Asmat,Papua,stunting kosong 2023; stunting kosong 2024
9401,Nabire,Papua,stunting kosong 2024
9402,Puncak Jaya,Papua,stunting kosong 2023; stunting kosong 2024
9403,Paniai,Papua,stunting kosong 2023; stunting kosong 2024
9404,Mimika,Papua,stunting kosong 2024
9405,Puncak,Papua,stunting kosong 2023; stunting kosong 2024
9406,Dogiyai,Papua,stunting kosong 2023; stunting kosong 2024
9407,Intan Jaya,Papua,stunting kosong 2023; stunting kosong 2024
9408,Deiyai,Papua,stunting kosong 2024
9501,Jayawijaya,Papua,stunting kosong 2024
9502,Pegunungan Bintang,Papua,stunting kosong 2023; stunting kosong 2024
9503,Yahukimo,Papua,stunting kosong 2023; stunting kosong 2024
9504,Tolikara,Papua,stunting kosong 2023; stunting kosong 2024
9505,Mamberamo Tengah,Papua,stunting kosong 2024
9506,Yalimo,Papua,stunting kosong 2023; stunting kosong 2024
9507,Lanny Jaya,Papua,stunting kosong 2024
9508,Nduga,Papua,stunting kosong 2023; stunting kosong 2024
